timestamp,tollID,tagRef,tagHomeID,charge
2024-11-08 13:08,OO03,NAORSVY4MT,NAO,8.7
2024-11-03 03:38,AM02,OOHQBESSQ,OO,8.3
2025-01-14 02:00,EG41,NAOICA1AP1,NAO,1.5
2024-07-03 11:35,NO02,MOXUUF6EV,MO,9.6
2024-09-18 06:38,EG65,NOTAJX3W7,NO,0.7
2024-10-09 01:11,NAO26,EG4SRK8YV,EG,2.5
2024-08-27 00:55,OO04,GE8NBN9I1,GE,8.7
2024-11-21 21:05,NO04,GEKGZ0KNH,GE,11.45
2025-01-11 10:29,EG63,GESA6VBIA,GE,1.0
2024-10-25 21:53,AM04,GE809EMRG,GE,6.8
2024-07-07 05:31,EG07,EGSM9VGNN,EG,1.8
2024-09-03 11:58,AM20,NOI1XCZD2,NO,1.5
2024-07-14 04:37,NO03,MOFU449YP,MO,2.25
2024-09-05 08:08,NO26,NAOQPZ6S89,NAO,1.55
2024-08-07 19:59,KO03,MOZ492GQB,MO,10.45
2024-08-13 10:38,AM27,EGEMLEOAX,EG,1.8
2024-11-25 03:01,MO03,NAOD9XC7IU,NAO,7.4
2025-01-16 02:40,NO02,NOWR04P8D,NO,3.85
2024-10-19 03:19,EG22,EGAOL6KXG,EG,1.6
2024-07-19 06:04,NO12,OOAT2L3PL,OO,8.45
2024-08-14 06:19,EG56,AM3VYBJNO,AM,0.6
2024-09-30 23:50,AM10,AM9O5WRXC,AM,3.1
2024-11-21 15:02,EG02,NAO3W0N6WX,NAO,0.7
2024-11-14 17:02,EG63,NO3UKJM09,NO,0.3
2025-02-05 12:46,KO21,NAO17KRVX4,NAO,2.35
2024-07-01 19:28,NO13,NAOVWT848I,NAO,10.45
2024-08-27 15:17,EG62,NOC245CZY,NO,0.4
2024-10-24 02:06,KO04,KOZHSD8HY,KO,2.05
2024-11-18 23:53,AM05,AMT8AC6NP,AM,15.1
2024-08-15 04:51,AM05,OO4X851AE,OO,2.5
2024-10-05 03:01,EG42,NAOU6LNF48,NAO,1.5
2024-09-05 17:49,KO14,OO7ABE3D9,OO,1.15
2024-09-20 02:38,MO18,EG8UWZPGA,EG,0.8
2024-10-03 10:04,AM01,NAO7285RG0,NAO,1.4
2024-12-26 19:45,EG55,KOC7JFNCM,KO,0.6
2025-02-04 10:31,AM13,EGEF16DE8,EG,4.5
2024-12-19 05:03,NAO37,GEK0B9RCR,GE,10.0
2024-11-17 12:40,OO11,EG9C56GSQ,EG,1.1
2024-09-10 18:18,OO22,EGO6I3P7R,EG,1.5
2024-07-18 20:10,NAO24,GEGNDUFRC,GE,6.25
2024-10-12 16:21,NO15,EGZTILZ9X,EG,2.3
2024-12-15 02:31,MO07,EGNNQ4DN8,EG,11.1
2024-11-05 09:19,AM01,AMKCAFB1V,AM,1.4
2024-12-17 05:25,AM21,MO2MWUE8K,MO,4.5
2024-11-18 00:14,AM10,EG1FKWARC,EG,3.1
2024-11-06 22:55,EG57,EGB8NDV5R,EG,2.0
2024-11-05 07:18,EG16,GEQXJ5SXS,GE,4.2
2024-07-03 04:23,EG70,GEMIH0BIL,GE,0.5
2024-11-02 22:00,NAO29,NAOFV1CYPR,NAO,10.0
2024-11-29 07:38,EG69,AMAXQI2LF,AM,0.3
2024-09-24 21:57,KO24,EGIHQNXQ4,EG,0.9
2024-10-24 23:18,EG20,EG0QCQAEM,EG,1.0
