timestamp,tollID,tagRef,tagHomeID,charge
03-15-23,EG69,GEX7EEDTJ,GE,0.3
06-11-23,AM30,GEX7EEDTJ,MO,2.3
03-01-23,NO20,MOJCKJLTE,KO,1.75
06-23-23,NAO22,EGSEIMVIH,MO,10.0
05-12-23,KO15,KOWKTAKPU,MO,3.15
06-29-23,NAO15,GEL6246HI,GE,2.5
03-15-23,EG32,OOQ0OXFQ8,AM,1.0
04-29-23,NO25,EGYTJXEPQ,NAO,5.4
06-15-23,OO15,NAO09SKDGI,NO,4.7
06-07-23,KO09,AMV3A3ZMF,AM,1.45
03-24-23,NO28,NAOP0J43D5,EG,4.15
06-07-23,MO02,NAO5ZJA8DZ,NAO,1.35
05-20-23,EG09,KOJDP0LVS,EG,2.3
04-01-23,EG17,NORCBPLJD,NAO,1.5
06-09-23,MO09,NOE1V2ISQ,KO,1.9
05-26-23,KO15,EGIGQPKI7,MO,0.6
05-26-23,EG41,GEL6246HI,GE,0.6
06-09-23,EG38,GEJA1WJ0T,OO,1.4
03-22-23,NAO11,EGC11ERTJ,AM,2.5
04-19-23,AM24,GEX7EEDTJ,AM,1.1
04-09-23,OO08,EGF1T2TAL,EG,6.9
05-08-23,NAO21,EGUT0CVS4,NAO,1.25
06-20-23,MO17,EGVWPVS7H,EG,2.9
03-22-23,OO28,EGC11ERTJ,NO,3.3
05-26-23,MO08,MOV86WZS3,EG,7.9
04-25-23,EG12,GEX7EEDTJ,AM,1.0
04-05-23,NAO26,KONCXLL4Z,AM,1.25
04-10-23,EG32,NOX6GVWRD,MO,3.5
05-25-23,NO24,EGC11ERTJ,AM,5.4
05-22-23,EG06,KOWM31YIH,MO,1.2
06-12-23,NAO06,EGYTJXEPQ,KO,2.5
06-27-23,EG32,NAOHL1N13J,AM,3.5
06-12-23,EG39,EGRHOCN9J,NO,0.8
03-05-23,NAO13,GEX7EEDTJ,EG,2.5
05-27-23,OO24,GE2IAGL58,KO,5.1
02-14-23,AM30,KOWKTAKPU,GE,9.6
05-15-23,NO06,GE2IAGL58,KO,2.3
06-06-23,MO12,GE5A0L725,OO,7.25
03-02-23,EG17,NAONSM43D8,GE,1.5
06-22-23,NAO17,GEL6246HI,OO,1.25
06-21-23,EG12,EGVWPVS7H,KO,1.5
02-15-23,EG71,NAOVZ41NAM,AM,0.5
03-21-23,EG45,GEX7EEDTJ,NAO,0.3
04-10-23,EG17,AMH9SDBDW,NAO,1.5
02-22-23,EG14,GE5A0L725,AM,3.0
03-21-23,EG21,OOQ0OXFQ8,KO,4.0
02-24-23,AM17,GEX7EEDTJ,MO,4.2
04-09-23,EG32,NOQLL8OS9,OO,4.9
05-23-23,EG42,NAOVZ41NAM,NO,1.5
06-21-23,AM06,EGRHOCN9J,MO,3.6
04-17-23,KO11,AMLJH75LX,EG,7.0
03-23-23,EG32,AMLJH75LX,OO,4.9
02-06-23,EG12,NAOBMYOFQE,NO,0.5
05-31-23,EG34,GEL6246HI,GE,2.0
05-14-23,MO02,EG9CHJ755,NAO,3.4
02-19-23,EG44,OO3KKV9RF,AM,0.3
03-17-23,AM03,NAOURTP0LZ,AM,9.6
05-31-23,NAO34,KOJDP0LVS,GE,10.0
05-24-23,NAO19,OOQ0OXFQ8,KO,6.25
04-19-23,OO14,NAONSM43D8,EG,0.7
03-29-23,EG07,EG9CHJ755,GE,1.8
06-03-23,KO18,GEJA1WJ0T,MO,2.05
02-23-23,OO18,NAONSM43D8,NO,4.7
